model,component,heads,sample_size_per_head,gengamma_median_ks,gengamma_iqr_ks_low,gengamma_iqr_ks_high,generalized_gamma_best_fit_share,lognormal_best_fit_share
opt-2.7b,S_negative,1024,80,0.06543661281952834,0.05695545324940941,0.08206794193019656,0.0048828125,0.9951171875
opt-2.7b,T,1024,80,0.06641392968986926,0.060433301464338424,0.07773764747728071,0.0,1.0
opt-6.7b,full,1024,128,0.0782990045754467,0.06049741602283806,0.09312653590722719,0.740234375,0.259765625
opt-6.7b,S_positive,1024,128,0.0715248919032884,0.0625673913107949,0.08325315840124345,0.0029296875,0.9970703125
opt-6.7b,S_negative,1024,128,0.056404135460718596,0.05138149160037153,0.06957882624250238,0.0068359375,0.9931640625
opt-6.7b,T,1024,128,0.061736968781936616,0.05530236016558773,0.07163806165579414,0.001953125,0.998046875
opt-13b,full,1600,128,0.08193832255239125,0.06896013053094777,0.09528770296358488,0.629375,0.370625
opt-13b,S_positive,1600,128,0.07911182801993502,0.07100871851133372,0.09399723127492862,0.0,1.0
opt-13b,S_negative,1600,128,0.06832737684929163,0.05474066124277306,0.10610578176433302,0.006875,0.993125
opt-13b,T,1600,128,0.0736309501506788,0.06013767081620466,0.09016272022514839,0.00125,0.99875
bloom-3b,full,960,80,0.07373234283762517,0.0635591150246038,0.08608047986057006,0.990625,0.009375
bloom-3b,S_positive,960,80,0.05446503373931785,0.04305579453812211,0.07057753671435565,0.553125,0.446875
bloom-3b,S_negative,960,80,0.05061594808931538,0.040748815847999754,0.06716371504483196,0.4354166666666667,0.5645833333333333
bloom-3b,T,960,80,0.052204139389445126,0.04088498652813377,0.0683891190833317,0.4625,0.5375
bloom-7b1,full,960,128,0.06069956477549612,0.051464106007567095,0.07292705242703325,0.9916666666666667,0.008333333333333333
bloom-7b1,S_positive,960,128,0.056285967008705536,0.04309963469925751,0.07097255246506602,0.6125,0.3875
bloom-7b1,S_negative,960,128,0.05605156016586666,0.04279105665243474,0.07300433253107323,0.5854166666666667,0.41458333333333336
bloom-7b1,T,960,128,0.05867830107358499,0.044660142050488794,0.07712137368490389,0.5822916666666667,0.41770833333333335
pythia-70m-deduped,full,48,64,0.08938307484158003,0.07552878940979317,0.12284220922713604,0.9583333333333334,0.041666666666666664
pythia-70m-deduped,S_positive,48,64,0.05122039412621904,0.04024324029950804,0.08063882971117456,0.6875,0.3125
pythia-70m-deduped,S_negative,48,64,0.052028265552808206,0.04520140424758673,0.06591316575492598,0.5625,0.4375
pythia-70m-deduped,T,48,64,0.04707276335414198,0.03610258702144056,0.05764040575025116,0.6041666666666666,0.3958333333333333
Mistral-Small-24B-Base,full,1280,128,0.06036333202051847,0.050796169430049276,0.07595121977596403,0.96015625,0.03984375
Mistral-Small-24B-Base,S_positive,1280,128,0.05719607617225786,0.04200729618052072,0.07556690744344839,0.9390625,0.0609375
Mistral-Small-24B-Base,S_negative,1280,128,0.05025119483320613,0.03780652920672983,0.07070107010919144,0.90546875,0.09453125
Mistral-Small-24B-Base,T,1280,128,0.053948272205653916,0.04070459354154712,0.07203839980630553,0.94609375,0.05390625
