model,component,head_index,sample_size,family,ks_distance,log_likelihood,fit_gap,best_fit
distilgpt2,full,0,64,generalized_gamma,0.10244048123656391,-202.3472658363321,0.0,True
distilgpt2,full,0,64,lognormal,0.12209804543032621,-210.73939905077486,8.392133214442765,False
distilgpt2,full,1,64,generalized_gamma,0.11313619223718469,-245.7124494501448,0.0,True
distilgpt2,full,1,64,lognormal,0.24595909538166166,-285.5724402560787,39.85999080593393,False
distilgpt2,full,2,64,generalized_gamma,0.06652673364870454,-195.87258115613167,0.0,True
distilgpt2,full,2,64,lognormal,0.1064623417493824,-201.8111103225179,5.938529166386218,False
distilgpt2,full,3,64,generalized_gamma,0.22686211944446266,-269.5189315815396,2.962046252559958,False
distilgpt2,full,3,64,lognormal,0.2105205071206503,-266.55688532897966,0.0,True
distilgpt2,full,4,64,generalized_gamma,0.10421051828217953,-245.16556829357563,1.7687611099212859,False
distilgpt2,full,4,64,lognormal,0.10023082725207766,-243.39680718365435,0.0,True
distilgpt2,full,5,64,generalized_gamma,0.1784891642823846,-266.0388116853258,0.0,True
distilgpt2,full,5,64,lognormal,0.3148802205012117,-321.498282732765,55.459471047439195,False
distilgpt2,full,6,64,generalized_gamma,0.07324127272252301,-198.477966810763,0.0,True
distilgpt2,full,6,64,lognormal,0.1412505820953449,-210.28370428706634,11.805737476303335,False
distilgpt2,full,7,64,generalized_gamma,0.16814660956352656,-256.81060752819457,0.2530163545962978,False
distilgpt2,full,7,64,lognormal,0.16152461529198692,-256.55759117359827,0.0,True
distilgpt2,full,8,64,generalized_gamma,0.060800903920273874,-203.22886159547105,0.0,True
distilgpt2,full,8,64,lognormal,0.09763105904117153,-204.60051107627186,1.3716494808008122,False
distilgpt2,full,9,64,generalized_gamma,0.126127641201224,-195.25092098107288,0.0,True
distilgpt2,full,9,64,lognormal,0.1872567234801818,-203.26598916102057,8.01506817994769,False
distilgpt2,full,10,64,generalized_gamma,0.05763764969039126,-132.73552735200943,0.0,True
distilgpt2,full,10,64,lognormal,0.1481579665520701,-148.83022580910966,16.094698457100236,False
