model,layer,head,mu,nu,tau,k_plus,k_minus,k_T,mode_ratio,shape_ratio,sigma_lambda_correlation,geometric_mean_error
distilgpt2,1,2,-22.63220651366818,5.583208809927163,12.937504052493082,1.8641759753566607,8.126826197098856,4.605689414162722,1.1509199412840512,1.1832886765541548,0.9727053323536773,0.10984480389971618
distilgpt2,1,3,-12.543970452472719,2.5547534051959033,7.003872501304656,1.5217032684918468,7.1136193597537964,3.594071305640337,1.2372179920944635,1.092386667510356,0.9698834179062239,0.08550501776677039
distilgpt2,1,4,-21.11800107284805,14.620079329636887,17.707966839419555,8.02885469382634,5.153424297359251,6.727753415608344,1.0077839364735484,1.0459124098307777,0.9814675697741696,0.04670205483434602
distilgpt2,1,5,-12.405767995431928,2.1750858033202443,6.436725878918632,1.5240228163149545,8.153876734597901,3.728591849918894,1.239124630861755,1.0577110478355816,0.9544811524009631,0.08511717166258792
distilgpt2,1,6,-4.39183791614705,2.323812776072724,3.1774658424184534,1.6442163341036005,2.096076998556364,1.8110506088153782,0.9946199617875594,0.9755454132759854,0.9947520435663836,0.05787760371961798
distilgpt2,1,7,-1.091952541614527,0.3287594409772815,0.6676974797469598,1.2079787631138934,1.47107607668448,1.360094680688133,1.1143939318336435,1.0202859967114515,0.9767510706149866,0.07130946274606409
distilgpt2,1,8,-15.803372639285683,7.589433614858856,11.341663951671563,3.773906684999561,7.086409438293334,6.4004303112653815,1.035612303866873,1.2376574884542577,0.990806648283877,0.07007393460227813
distilgpt2,1,9,-14.092236926866809,,4.835492063730644,0.9031988219586212,8.785810645072068,2.5143179812042575,,0.8925603708991202,0.8918634443348856,0.12585021960044684
distilgpt2,1,10,-2.8051171298754194,1.5860840489625665,2.1909422091647994,1.688920974285081,2.6518526491080094,2.1176553375730545,1.0387052419960483,1.0006355272281462,0.9945908846945191,0.045522842869195314
distilgpt2,1,11,-1.2194287458729878,0.17129883468423482,0.6144343644238834,1.090135642916446,1.524145825676933,1.2973236079872157,1.3443739193299127,1.0064559947017748,0.9684720647601,0.08838932975055015
distilgpt2,2,0,-7.798486042508148,6.476162520539403,7.269596891333242,3.0225927110918764,3.7142988899372917,3.6416696077432875,1.022930929650038,1.0868567377613498,0.995246048686729,0.0713879239298271
distilgpt2,2,1,-7.6365010977651036,5.8132357428155235,6.688441611354108,3.666983439219277,3.932373437625375,3.863258265127238,1.0038498612121622,1.0173535179077693,0.9940730122905055,0.04708081632861117
distilgpt2,2,2,-6.7033311598374,4.8885062464186335,5.662805477042641,3.9169502893115595,3.7329893929457305,3.639073651512729,0.9892321413725153,0.9516745107464855,0.9970053123652107,0.03161957028854076
distilgpt2,2,3,-7.762365890177417,5.778826141011248,6.737006072736871,3.0073276104453335,3.7811219483313936,3.4129137525991577,1.0058890245292949,1.0121027395584734,0.9928276164639741,0.04530930181871119
distilgpt2,2,4,-4.8486672594792,6.06197529428214,5.550600920813698,3.8052119883645754,4.085546464119651,4.47490626498904,1.0238155738078158,1.1349309446305074,0.9958313314874119,0.057003407262989345
distilgpt2,2,5,-6.506413156499494,5.633875429410882,6.170186341424399,3.3760132266410525,3.653630500803782,3.812025177879172,1.0191165192179057,1.0854039022759445,0.9959094649037792,0.07374088857620455
distilgpt2,2,6,-5.309516065454182,1.594496747407583,3.0361751188273494,2.479994732896651,4.0326836175489165,3.5123014340423095,1.0434881667671965,1.110629810715917,0.9788254445175452,0.07224079195487806
distilgpt2,2,7,-3.6673180759732205,5.815348041034467,4.593729446139468,5.076103783453484,3.7468259509179633,4.166097864780946,0.9947255377916945,0.955283906726763,0.9942766635573618,0.037623642361093834
distilgpt2,2,8,-7.422761857400691,4.965422631548292,6.665367735231854,2.5315570996462435,4.70226974822539,5.092713811065884,1.0979011538471852,1.476051933937987,0.9896793270347347,0.14665206053074392
distilgpt2,2,9,-7.229540495223616,4.893987138387137,5.948876553431576,4.356867310647928,3.7362167130758865,4.019024800200575,1.000110985420481,0.9961333720311916,0.9943692398967677,0.0365653753058849
distilgpt2,2,10,-6.023443061922451,6.597411113872301,6.267727855222023,4.167749409653397,4.0768472970236775,4.00097594043528,0.9942622547142698,0.9706282295182594,0.9914261403732881,0.035768975774692596
distilgpt2,2,11,-19.871898329362036,,12.885079871954614,0.8342528600490102,4.3400437156561225,2.0426432695034853,,1.0734865891497072,0.9657995522545317,0.23904667844109548
distilgpt2,3,0,-3.9303883778513056,4.007148776410266,4.143122857365812,2.887745953692628,3.1370988836991582,3.5120031925945754,1.043980398993773,1.1668399928649964,0.9938306271888436,0.11587152003596689
distilgpt2,3,1,-5.749582465238109,6.852945952449457,6.521111502765605,5.097172564053059,6.315774766788304,8.409188269661556,1.038878645159128,1.4820951650732102,0.9904017569223456,0.10073609833538531
distilgpt2,3,2,-3.7042908392305836,10.987632395692874,6.865423364447912,4.538022506813835,2.991673947038289,5.404387560636342,1.076125008608756,1.4667497850490605,0.9730038663743037,0.13619489043757418
distilgpt2,3,3,-3.0385806951809604,3.555269784601768,3.303156192356958,4.984089586289018,3.853413597348942,4.4566804295183715,1.0049800532848996,1.0169410090118833,0.9901366615290959,0.060742681013753755
distilgpt2,3,4,-4.059540777193684,2.9633622171636236,3.46190353811009,3.9477916664259354,3.172805658799703,3.478865799128463,0.99812317374028,0.982966748776015,0.9942373260475099,0.056506922644874974
