model,layer,head,kv_head,dim,symmetric_energy,balance,pairing,rho,pairing_bound,pairing_gap,lobe_departure,n_pos,n_neg,n_zero,a,b,c,d,b_sym,c_sym,d_sym,trace_ratio
distilgpt2,1,4,4,128,0.5328204733976559,1.0,0.6844231203649341,1.57929725345004,0.6900948137749103,0.005671693409976197,0.0885940365154198,64,64,0,0.46717952660234413,0.4797575394408308,0.0002031760705490754,0.05285975788627612,0.9004112330397953,0.00038132181605837154,0.0992074451441465,1.6755631563734235
distilgpt2,1,5,5,128,0.5934309891202323,1.0,0.5116323183091303,1.697322982415268,0.6460291849412687,0.13439686663213846,0.5087707951632179,64,64,0,0.40656901087976755,0.4518959223608853,0.0008370245996203769,0.14069804215972662,0.7614970074798854,0.001410483468113579,0.23709250905200105,2.7960106973691787
distilgpt2,1,6,6,128,0.49980152099296676,1.0,0.7836794793118438,1.344641119906813,0.7943333276670975,0.010653848355253737,0.09689533493593282,64,64,0,0.5001984790070333,0.4764135248968951,0.0,0.023387996096071666,0.953205432329205,0.0,0.046794567670795026,1.1185829352280614
distilgpt2,1,7,7,128,0.5295493655038396,1.0,0.6603208480277785,1.5758572161537763,0.6914555386506034,0.031134690622824923,0.2112143043500502,64,64,0,0.4704506344961605,0.46844893964923634,0.0,0.061100425854603534,0.884618073715433,0.0,0.11538192628456755,1.7612901831237884
distilgpt2,1,8,8,128,0.5558691774651243,1.0,0.6176684972878841,1.6031674792511579,0.6807764437709413,0.06310794648305718,0.31399768325315874,64,64,0,0.4441308225348758,0.47461367861109716,0.001311860375281498,0.07994363847874567,0.8538226220338955,0.002360016400376517,0.1438173615657281,2.105386396118282
distilgpt2,1,9,9,128,0.6393349842104427,1.0,0.40566831880334575,1.8892235203475642,0.5840007989732987,0.17833248016995296,0.6601213996879153,64,64,0,0.36066501578955745,0.41350259358034114,0.0012194547144302379,0.22461293591567139,0.6467698527259587,0.001907379925308207,0.35132276734873324,3.569620758145559
distilgpt2,1,10,10,128,0.4991223824912457,1.0,0.8842040391993131,1.057180599197691,0.9607062409632163,0.07650220176390321,0.1541625925156274,64,64,0,0.5008776175087543,0.49242979793624075,0.0007945948229848647,0.005897989732020195,0.986591295462246,0.0015919839519495029,0.011816720585804708,0.4652339659427794
distilgpt2,1,11,11,128,0.5182791071419541,1.0,0.6609084602990059,1.4300460703440214,0.7535555342366429,0.09264707393763705,0.33987056677657007,64,64,0,0.481720892858046,0.45868578309553476,5.511959361784041e-05,0.0595382044528017,0.8850169277032095,0.00010635117807815361,0.11487672111871275,1.6714463396665857
distilgpt2,2,0,0,128,0.5207371639682482,1.0,0.8638207936604677,1.0243639902802657,0.9829806346831008,0.1191598410226331,0.191104195301407,64,64,0,0.4792628360317518,0.5110802097829876,0.003061560358026701,0.006595393827233865,0.981455223760735,0.005879281468401934,0.012665494770862979,0.35107349634821955
distilgpt2,2,1,1,128,0.5142109787592838,1.0,0.8137211549746628,1.2054538190499413,0.8688238384926342,0.05510268351797143,0.18867374794928207,64,64,0,0.48578902124071605,0.4963679564713803,0.0007825897817811067,0.01706043250612248,0.9653001918960266,0.0015219235179874649,0.033177884585986125,0.8979979814625604
distilgpt2,2,2,2,128,0.5073350831983507,1.0,0.7757825014940655,1.3749283342291778,0.779470247432568,0.003687745938502518,0.05871893554380586,64,64,0,0.49266491680164914,0.4818295796730734,1.2219511238224876e-05,0.025493284014039278,0.9497265133637415,2.4085681520762212e-05,0.05024940095473798,1.1916356092668252
distilgpt2,2,3,3,128,0.507377116940959,1.0,0.8507841789649903,1.139765751239428,0.9078224741898884,0.05703829522489812,0.1666532668632957,64,64,0,0.492622883059041,0.49608018214372995,0.0002910592928823603,0.011005875504346604,0.9777346387528478,0.0005736547494242423,0.021691706497727812,0.699998660713183
distilgpt2,2,4,4,128,0.5224360038275837,1.0,0.8211039066569161,0.7991433070618146,0.8430917229225857,0.02198781626566959,0.1230445387448284,64,64,0,0.47756399617241646,0.5057160600675574,0.016629544320543956,9.039943948222473e-05,0.9679961877865825,0.03183077773872587,0.00017303447469148528,0.9160646496865807
distilgpt2,2,5,5,128,0.5198920700835322,1.0,0.8785967498721586,1.0614707591308057,0.9578484643596726,0.079251714487514,0.16115252669759164,64,64,0,0.48010792991646795,0.5122295112818622,0.0013611404835573485,0.006301418318112625,0.9852612508583968,0.002618121263782021,0.012120627877821182,0.4106981011710011
distilgpt2,2,6,6,128,0.6067082882082295,1.0,0.4418527231307583,2.333121667398409,0.474817399372242,0.03296467624148369,0.3140476384889279,64,64,0,0.3932917117917705,0.4177014364262619,3.2303645402883296e-05,0.18897454813656492,0.6884716173234505,5.324411423203815e-05,0.3114751385623178,3.357705548417315
distilgpt2,2,7,7,128,0.5158203539516953,1.0,0.755274687209288,0.7115213405146597,0.7649483293778778,0.009673642168589791,0.09912223774178698,64,64,0,0.4841796460483047,0.4849276260197445,0.030892727931950897,0.0,0.9401095212794881,0.059890478720511835,0.0,1.3367678023253102
distilgpt2,2,8,8,128,0.5518449484529664,1.0,0.8672356152242136,1.0598283316977961,0.9589410585311079,0.09170544330689434,0.17870346234080886,64,64,0,0.4481550515470335,0.5421179186613221,0.00193799277022113,0.007789037021423094,0.9823736181351068,0.0035118429110460635,0.014114538953847018,0.514369992428812
distilgpt2,2,9,9,128,0.5248728791387675,1.0,0.7073203503340305,1.5036421301182827,0.7210986149574968,0.013778264623466319,0.1306878773571119,64,64,0,0.4751271208612326,0.4799115453893155,0.00027707531819254783,0.04468425843125927,0.9143386226714052,0.000527890331554536,0.08513348699704013,1.5914047714125195
distilgpt2,2,10,10,128,0.49983168575230064,1.0,0.9191086026548467,0.9189027477428989,0.9402853802009059,0.021176777546059178,0.07730766989738327,64,64,0,0.5001683142476995,0.4965610780205805,0.0032003244270464326,7.028330467356901e-05,0.9934565818355483,0.006402804220443926,0.00014061394400754137,0.3049003712358813
distilgpt2,2,11,11,128,0.6289595133605259,1.0,0.5860060239522931,0.6202362113975606,0.6772718788824734,0.09126585493018036,0.3874397662349088,64,64,0,0.371040486639474,0.5211615057304628,0.09806968441535846,0.009728323214704888,0.828608987796211,0.15592368400848708,0.015467328195302317,0.824948536833981
